visitation_id,resident_id,visit_date,social_worker,visit_type,location_visited,family_members_present,purpose,observations,family_cooperation_level,safety_concerns_noted,follow_up_needed,follow_up_notes,visit_outcome
1,1,2023-11-02,SW-04,Routine Follow-Up,Proposed Foster Home,Lopez (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,True,False,Follow-up scheduled,Favorable
2,1,2023-11-22,SW-12,Routine Follow-Up,Church,Mendoza (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
3,1,2023-12-14,SW-16,Post-Placement Monitoring,Barangay Office,Santos (Parent); Torres (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,True,Follow-up scheduled,Unfavorable
4,1,2023-12-18,SW-07,Reintegration Assessment,Proposed Foster Home,Cruz (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
5,1,2023-12-24,SW-05,Post-Placement Monitoring,Community Center,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,,Unfavorable
6,1,2023-12-24,SW-17,Post-Placement Monitoring,Church,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Uncooperative,False,False,Follow-up scheduled,Favorable
7,1,2023-12-28,SW-05,Reintegration Assessment,Family Home,Cruz (Parent); Torres (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,Follow-up scheduled,Needs Improvement
8,1,2024-01-05,SW-19,Emergency,Church,None,Visitation for emergency,Visit observations recorded during emergency.,Uncooperative,True,False,Follow-up scheduled,Favorable
9,1,2024-01-08,SW-02,Reintegration Assessment,Barangay Office,Lopez (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Uncooperative,True,False,Follow-up scheduled,Inconclusive
10,1,2024-02-17,SW-10,Reintegration Assessment,Proposed Foster Home,Santos (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
11,1,2024-03-05,SW-12,Reintegration Assessment,Family Home,Flores (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,,Needs Improvement
12,1,2024-03-08,SW-05,Routine Follow-Up,Community Center,Garcia (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
13,1,2024-04-19,SW-08,Emergency,Church,Flores (Parent); Garcia (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
14,1,2024-05-11,SW-08,Routine Follow-Up,Community Center,Torres (Parent); Lopez (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,Follow-up scheduled,Favorable
15,1,2024-05-13,SW-16,Reintegration Assessment,Family Home,Torres (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Inconclusive
16,1,2024-05-18,SW-02,Routine Follow-Up,Community Center,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,True,Follow-up scheduled,Needs Improvement
17,1,2024-05-18,SW-18,Routine Follow-Up,Proposed Foster Home,Lopez (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Uncooperative,False,False,Follow-up scheduled,Favorable
18,1,2024-06-18,SW-11,Routine Follow-Up,Barangay Office,Garcia (Parent); Diaz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Neutral,False,False,,Favorable
19,1,2024-06-30,SW-11,Reintegration Assessment,School,Rivera (Parent); Rivera (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
20,1,2024-07-29,SW-04,Reintegration Assessment,Barangay Office,Mendoza (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
21,1,2024-08-18,SW-16,Reintegration Assessment,Barangay Office,Diaz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,True,True,Follow-up scheduled,Needs Improvement
22,1,2024-09-13,SW-13,Post-Placement Monitoring,School,Cruz (Parent); Flores (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
23,1,2024-11-15,SW-04,Emergency,Church,Lopez (Parent); Cruz (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Neutral,False,True,Follow-up scheduled,Needs Improvement
24,1,2024-11-24,SW-09,Reintegration Assessment,Church,Lopez (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Neutral,False,True,,Unfavorable
25,1,2024-12-09,SW-12,Routine Follow-Up,Proposed Foster Home,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Inconclusive
26,1,2025-01-12,SW-09,Emergency,Church,Cruz (Parent); Rivera (Sibling),Visitation for emergency,Visit observations recorded during emergency.,Cooperative,False,True,,Needs Improvement
27,1,2025-01-24,SW-12,Post-Placement Monitoring,Church,Garcia (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,False,Follow-up scheduled,Favorable
28,1,2025-03-06,SW-18,Post-Placement Monitoring,Community Center,Mendoza (Parent); Diaz (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,False,Follow-up scheduled,Favorable
29,1,2025-03-20,SW-02,Reintegration Assessment,Community Center,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
30,1,2025-04-06,SW-06,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Favorable
31,1,2025-04-16,SW-13,Post-Placement Monitoring,Proposed Foster Home,Lopez (Parent); Lopez (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
32,1,2025-04-19,SW-10,Reintegration Assessment,Community Center,Cruz (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
33,1,2025-05-16,SW-20,Routine Follow-Up,Church,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
34,1,2025-05-18,SW-14,Post-Placement Monitoring,Family Home,None,Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
35,1,2025-07-05,SW-15,Routine Follow-Up,Barangay Office,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,True,Follow-up scheduled,Unfavorable
36,1,2025-07-29,SW-18,Initial Assessment,Family Home,Reyes (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,,Favorable
37,1,2025-08-08,SW-04,Routine Follow-Up,School,Reyes (Parent); Flores (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,Follow-up scheduled,Favorable
38,1,2025-08-14,SW-19,Reintegration Assessment,School,Lopez (Parent); Santos (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,True,,Needs Improvement
39,1,2025-08-16,SW-04,Reintegration Assessment,School,Mendoza (Parent); Flores (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,,Favorable
40,1,2025-09-24,SW-03,Routine Follow-Up,Church,Cruz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Favorable
41,1,2025-10-15,SW-01,Post-Placement Monitoring,School,Flores (Parent); Mendoza (Sibling),Visitation for post-placement monitoring,Visit observations recorded during post-placement monitoring.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
42,1,2025-11-02,SW-02,Initial Assessment,Community Center,Lopez (Parent); Garcia (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
43,1,2025-11-09,SW-05,Reintegration Assessment,School,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,True,True,Follow-up scheduled,Unfavorable
44,1,2025-12-05,SW-04,Routine Follow-Up,Proposed Foster Home,Mendoza (Parent); Torres (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,False,False,,Inconclusive
45,1,2025-12-06,SW-05,Initial Assessment,Family Home,Rivera (Parent); Rivera (Sibling),Visitation for initial assessment,Visit observations recorded during initial assessment.,Highly Cooperative,True,False,,Inconclusive
46,1,2025-12-14,SW-13,Routine Follow-Up,Proposed Foster Home,Santos (Parent); Garcia (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
47,1,2025-12-18,SW-16,Reintegration Assessment,School,Diaz (Parent); Mendoza (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
48,1,2026-01-03,SW-10,Reintegration Assessment,Family Home,Rivera (Parent); Lopez (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,True,Follow-up scheduled,Needs Improvement
49,1,2026-01-12,SW-16,Routine Follow-Up,Community Center,Mendoza (Parent); Rivera (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Needs Improvement
50,1,2026-01-20,SW-13,Routine Follow-Up,Church,Diaz (Parent); Cruz (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,False,True,Follow-up scheduled,Unfavorable
51,1,2026-01-25,SW-04,Routine Follow-Up,School,None,Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Cooperative,True,True,,Needs Improvement
52,1,2026-01-26,SW-02,Reintegration Assessment,School,Torres (Parent); Diaz (Sibling),Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Cooperative,False,False,Follow-up scheduled,Inconclusive
53,1,2026-02-06,SW-17,Routine Follow-Up,Family Home,Mendoza (Parent); Mendoza (Sibling),Visitation for routine follow-up,Visit observations recorded during routine follow-up.,Highly Cooperative,True,False,,Inconclusive
54,1,2026-02-23,SW-18,Reintegration Assessment,Church,None,Visitation for reintegration assessment,Visit observations recorded during reintegration assessment.,Highly Cooperative,False,True,,Needs Improvement
